topic,center,start,target,num
428d0,---,ec61d,2382e,2
428d0,---,ec61d,9682a,1
428d0,---,ec61d,a104c,3
428d0,---,089b6,2382e,1
428d0,---,089b6,9682a,2
428d0,---,089b6,a104c,3
428d0,---,22ed4,2382e,2
428d0,---,22ed4,9682a,3
428d0,---,22ed4,a104c,1
428d0,---,6e1bb,2382e,2
428d0,---,6e1bb,9682a,3
428d0,---,6e1bb,a104c,1
428d0,---,a6d73,2382e,3
428d0,---,a6d73,9682a,2
428d0,---,a6d73,a104c,1
428d0,---,2be4d,2382e,2
428d0,---,2be4d,9682a,3
428d0,---,2be4d,a104c,1
428d0,---,87dad,2382e,3
428d0,---,87dad,9682a,2
428d0,---,87dad,a104c,1
428d0,---,f4624,2382e,3
428d0,---,f4624,9682a,2
428d0,---,f4624,a104c,1
428d0,---,a4b95,2382e,3
428d0,---,a4b95,9682a,2
428d0,---,a4b95,a104c,1
428d0,---,bf6ec,2382e,2
428d0,---,bf6ec,9682a,3
428d0,---,bf6ec,a104c,1
40479,9682a,2be4d,10ba6,3
40479,9682a,2be4d,5dbcd,2
40479,9682a,2be4d,fc58f,1
40479,9682a,6e1bb,10ba6,2
40479,9682a,6e1bb,5dbcd,3
40479,9682a,6e1bb,fc58f,1
40479,9682a,a6d73,10ba6,2
40479,9682a,a6d73,5dbcd,3
40479,9682a,a6d73,fc58f,1
40479,9682a,f4624,10ba6,2
40479,9682a,f4624,5dbcd,3
40479,9682a,f4624,fc58f,1
40479,9682a,bf6ec,10ba6,2
40479,9682a,bf6ec,5dbcd,3
40479,9682a,bf6ec,fc58f,1
40479,9682a,a4b95,10ba6,3
40479,9682a,a4b95,5dbcd,2
40479,9682a,a4b95,fc58f,1
40479,9682a,22ed4,10ba6,2
40479,9682a,22ed4,5dbcd,3
40479,9682a,22ed4,fc58f,1
40479,9682a,ec61d,10ba6,1
40479,9682a,ec61d,5dbcd,2
40479,9682a,ec61d,fc58f,3
40479,9682a,089b6,10ba6,3
40479,9682a,089b6,5dbcd,1
40479,9682a,089b6,fc58f,2
40479,9682a,87dad,10ba6,3
40479,9682a,87dad,5dbcd,1
40479,9682a,87dad,fc58f,2
0c8e4,10ba6,6e1bb,808b4,2
0c8e4,10ba6,6e1bb,b2c46,1
0c8e4,10ba6,6e1bb,e6b23,3
0c8e4,10ba6,22ed4,808b4,1
0c8e4,10ba6,22ed4,b2c46,2
0c8e4,10ba6,22ed4,e6b23,3
0c8e4,10ba6,a6d73,808b4,3
0c8e4,10ba6,a6d73,b2c46,1
0c8e4,10ba6,a6d73,e6b23,2
0c8e4,10ba6,87dad,808b4,3
0c8e4,10ba6,87dad,b2c46,2
0c8e4,10ba6,87dad,e6b23,1
0c8e4,10ba6,a4b95,808b4,2
0c8e4,10ba6,a4b95,b2c46,1
0c8e4,10ba6,a4b95,e6b23,3
0c8e4,10ba6,bf6ec,808b4,3
0c8e4,10ba6,bf6ec,b2c46,2
0c8e4,10ba6,bf6ec,e6b23,1
0c8e4,10ba6,ec61d,808b4,3
0c8e4,10ba6,ec61d,b2c46,1
0c8e4,10ba6,ec61d,e6b23,2
0c8e4,10ba6,089b6,808b4,2
0c8e4,10ba6,089b6,b2c46,3
0c8e4,10ba6,089b6,e6b23,1
0c8e4,10ba6,2be4d,808b4,2
0c8e4,10ba6,2be4d,b2c46,1
0c8e4,10ba6,2be4d,e6b23,3
0c8e4,10ba6,f4624,808b4,2
0c8e4,10ba6,f4624,b2c46,1
0c8e4,10ba6,f4624,e6b23,3